author,papers
Masashi Sugiyama (RIKEN / The University of Tokyo),11
Michal Valko (DeepMind),8
Michael Jordan (UC Berkeley),8
Dale Schuurmans (Google / University of Alberta),8
Zhaoran Wang (Northwestern),7
Tommi Jaakkola (MIT),7
Percy Liang (Stanford University),7
Gang Niu (RIKEN),7
Zhuoran Yang (Princeton University),6
Zhangyang Wang (Texas A&M University),6
Steven Wu (University of Minnesota),6
Stefano Ermon (Stanford University),6
Pieter Abbeel (UC Berkeley & Covariant),6
Chi Jin (Princeton University),6
Yoshua Bengio (Mila / U. Montreal),5
Volkan Cevher (EPFL),5
Vladimir Braverman (Johns Hopkins University),5
Tom Goldstein (University of Maryland),5
Stefanie Jegelka (Massachusetts Institute of Technology),5
Sham Kakade (University of Washington),5
Sergey Levine (UC Berkeley),5
Mehryar Mohri (Google Research and Courant Institute of Mathematical Sciences),5
M van der Schaar (UCLA),5
Jinwoo Shin (KAIST),5
Heng Huang (University of Pittsburgh),5
Bo Han (HKBU / RIKEN),5
Alessandro Lazaric (Facebook AI Research),5
Aldo Pacchiano (UC Berkeley),5
Akshay Krishnamurthy (Microsoft Research),5
