author,papers
Sergey Levine (UC Berkeley),12
Zhaoran Wang (Northwestern University),9
"Sung Ju Hwang (KAIST, AITRICS)",9
Stefano Ermon (Stanford),9
Mihaela van der Schaar (University of Cambridge),9
Lin Yang (UCLA),9
Jinwoo Shin (KAIST),9
Csaba Szepesvari (DeepMind / University of Alberta),9
Zhuoran Yang (Princeton),8
Zhangyang Wang (University of Texas at Austin),8
Russ Salakhutdinov (Carnegie Mellon University),8
Pieter Abbeel (UC Berkeley & covariant.ai),8
Jun Zhu (Tsinghua University),8
Jason Lee (Princeton University),8
Tamer Basar (University of Illinois at Urbana-Champaign),7
Sham Kakade (University of Washington),7
Ruosong Wang (Carnegie Mellon University),7
Michael W Mahoney (UC Berkeley),7
Michael Jordan (UC Berkeley),7
Max Welling (University of Amsterdam / Qualcomm AI Research),7
Masashi Sugiyama (RIKEN / University of Tokyo),7
Kaiqing Zhang (University of Illinois at Urbana-Champaign (UIUC)),7
Jure Leskovec (Stanford University and Pinterest),7
Dacheng Tao (University of Sydney),7
Chelsea Finn (Stanford),7
Bo Dai (Google Brain),7
Anima Anandkumar (NVIDIA / Caltech),7
Andreas Krause (ETH Zurich),7
